window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
14d,symbol_path,ETH/USDT:USDT|1h_continuation,2,0.0,0.0,1.0,0.5331445753585621,0.4759481787643796,-0.018901938834713083,-0.013231357184299158,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,ETH/USDT:USDT|aligned_trend,1,0.0,0.0,1.0,0.8453798201675868,0.3551605179826077,-0.018903340419882717,-0.013232338293917902,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,ETH/USDT:USDT|adaptive_trend_route,4,0.0,0.0,1.0,0.353622959992046,0.6844565498037027,-0.027706226871004158,-0.01939435880970291,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,LINK/USDT:USDT|15m_fast,7,0.0,0.0,1.0,0.49099791520651265,0.39685495516902336,-0.018130331257070375,-0.012691231879949263,,,1,1.0,0.42857142857142855,DO_NOT_ENABLE
14d,symbol_path,LINK/USDT:USDT|1h_continuation,2,0.0,0.0,1.0,0.35009941742627154,0.28446316375309,-0.018290560820312753,-0.012803392574218928,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,LINK/USDT:USDT|aligned_trend,2,0.0,0.0,1.0,0.659220407856708,0.329876992682063,-0.01865873375440541,-0.013061113628083786,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,LINK/USDT:USDT|4h_flip,1,0.0,0.0,1.0,0.3327540899660046,0.17281151633593583,-0.017053187505661177,-0.011937231253962824,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,LINK/USDT:USDT|adaptive_trend_route,6,0.0,0.0,1.0,0.4088706894679018,0.36186548892929776,-0.028037798953771526,-0.01962645926764007,,,1,1.0,0.3333333333333333,DO_NOT_ENABLE
14d,symbol_path,SOL/USDT:USDT|15m_fast,6,0.0,0.0,0.6666666666666666,0.236179043128541,0.7304813097910486,-0.35245040380574316,-0.34671528266402024,,772.5,1,1.0,0.3333333333333333,DO_NOT_ENABLE
14d,symbol_path,SOL/USDT:USDT|4h_flip,4,0.0,0.0,1.0,0.46991766415671854,0.4960978327660441,-0.01950079314923155,-0.013650555204462084,,,1,1.0,0.25,DO_NOT_ENABLE
